IID,ancestry,white_brit,Unnamed: 0
1036959,United Kingdom,1,270977
1897933,United Kingdom,1,476852
3769586,United Kingdom,1,319665
4379038,United Kingdom,1,75104
4475484,United Kingdom,1,241839
3263326,United Kingdom,1,272824
5016406,United Kingdom,1,103044
5005168,United Kingdom,1,218786
4969822,United Kingdom,1,421538
2057433,United Kingdom,1,51887
5167709,United Kingdom,1,382928
3468802,United Kingdom,1,431759
4153303,United Kingdom,1,243948
2055324,United Kingdom,1,96615
1354530,United Kingdom,1,297607
2065292,United Kingdom,1,11637
5918097,United Kingdom,1,115828
1906932,United Kingdom,1,146659
1289543,United Kingdom,1,114921
2807345,United Kingdom,1,22099
2510167,United Kingdom,1,288664
2832990,United Kingdom,1,248363
4393628,United Kingdom,1,368424
2604214,United Kingdom,1,172175
3413365,United Kingdom,1,369093
4169650,United Kingdom,1,445630
2319346,United Kingdom,1,33021
3478824,United Kingdom,1,13489
3756997,United Kingdom,1,25903
1819428,United Kingdom,1,46975
4413780,United Kingdom,1,271851
2084748,United Kingdom,1,381860
1706285,United Kingdom,1,188635
3075430,United Kingdom,1,332399
3846228,United Kingdom,1,417238
3205874,United Kingdom,1,111175
4022690,United Kingdom,1,109267
2020720,United Kingdom,1,359313
3748945,United Kingdom,1,153568
3441450,United Kingdom,1,270329
3049964,United Kingdom,1,201158
4985242,United Kingdom,1,240291
1717076,United Kingdom,1,377385
1703881,United Kingdom,1,122893
1764666,United Kingdom,1,378471
4579617,United Kingdom,1,61469
5386810,United Kingdom,1,138193
4225268,United Kingdom,1,463758
1464030,United Kingdom,1,259893
2954227,United Kingdom,1,303666
4646455,United Kingdom,1,427662
5828412,United Kingdom,1,187059
2685245,United Kingdom,1,219800
2814184,United Kingdom,1,250917
5622759,United Kingdom,1,456355
3566081,United Kingdom,1,285433
3797390,United Kingdom,1,112556
4972638,United Kingdom,1,426925
5919023,United Kingdom,1,23480
3592389,United Kingdom,1,437422
1322223,United Kingdom,1,115284
4145891,United Kingdom,1,333454
2267513,United Kingdom,1,39766
1861262,United Kingdom,1,128511
5722469,United Kingdom,1,263044
5963718,United Kingdom,1,245871
4986667,United Kingdom,1,454512
5201880,United Kingdom,1,129908
1491909,United Kingdom,1,51117
1950386,United Kingdom,1,360911
4130996,United Kingdom,1,227099
5132582,United Kingdom,1,146004
4153144,United Kingdom,1,467349
4021325,United Kingdom,1,407857
2206281,United Kingdom,1,449952
5654588,United Kingdom,1,47968
2352347,United Kingdom,1,187965
4602369,United Kingdom,1,455135
3814034,United Kingdom,1,443891
2683094,United Kingdom,1,80895
5222977,United Kingdom,1,161426
2380402,United Kingdom,1,324977
1977163,United Kingdom,1,449423
2975188,United Kingdom,1,63335
5683984,United Kingdom,1,175054
4455980,United Kingdom,1,114197
3276812,United Kingdom,1,314948
5060942,United Kingdom,1,76583
2688760,United Kingdom,1,89048
2452474,United Kingdom,1,423687
4859938,United Kingdom,1,406752
2797250,United Kingdom,1,190737
2413982,United Kingdom,1,281563
4955393,United Kingdom,1,227180
1147239,United Kingdom,1,156509
3602716,United Kingdom,1,168133
3425842,United Kingdom,1,152418
1640971,United Kingdom,1,230902
3833394,United Kingdom,1,185851
3311206,United Kingdom,1,436334
3894795,United Kingdom,1,227928
2901789,United Kingdom,1,48955
2940541,United Kingdom,1,464610
1044325,United Kingdom,1,294645
3987037,United Kingdom,1,439572
4941468,United Kingdom,1,44856
3020309,United Kingdom,1,282562
1005481,United Kingdom,1,197720
4358573,United Kingdom,1,125534
3253096,United Kingdom,1,99154
1891316,United Kingdom,1,347365
2075573,United Kingdom,1,12112
1509649,United Kingdom,1,20831
4185455,United Kingdom,1,195891
3489762,United Kingdom,1,396191
2975312,United Kingdom,1,447981
4689987,United Kingdom,1,163084
3346819,United Kingdom,1,195240
4134279,United Kingdom,1,460260
1585704,United Kingdom,1,116137
3648843,United Kingdom,1,36833
4159033,United Kingdom,1,168234
3240029,United Kingdom,1,482379
5134742,United Kingdom,1,416189
3440508,United Kingdom,1,12572
3229170,United Kingdom,1,550
4169023,United Kingdom,1,152821
2375894,United Kingdom,1,274015
1484140,United Kingdom,1,50190
2725201,United Kingdom,1,118094
2474347,United Kingdom,1,65939
3748903,United Kingdom,1,289747
3622244,United Kingdom,1,383785
3868323,United Kingdom,1,38554
2616917,United Kingdom,1,79910
4088242,United Kingdom,1,252845
4418311,United Kingdom,1,333385
4791454,United Kingdom,1,355030
3466271,United Kingdom,1,78013
2808767,United Kingdom,1,36515
4724162,United Kingdom,1,431977
4488789,United Kingdom,1,170852
3712948,United Kingdom,1,249771
3541355,United Kingdom,1,220260
4596020,United Kingdom,1,130151
1502992,United Kingdom,1,165224
4983976,United Kingdom,1,285133
5148094,United Kingdom,1,296885
2618614,United Kingdom,1,42274
4198031,United Kingdom,1,373861
2431956,United Kingdom,1,303591
4449364,United Kingdom,1,54353
5826813,United Kingdom,1,416942
4784450,United Kingdom,1,61899
4510059,United Kingdom,1,83323
5782503,United Kingdom,1,186571
2957054,United Kingdom,1,129898
4688530,United Kingdom,1,240959
2944501,United Kingdom,1,123010
